Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
MOHHv1,instance_001.txt,0,Time,89.16428995132446
MOHHv1,instance_001.txt,1,Time,76.68394303321838
MOHHv1,instance_001.txt,2,Time,83.16504240036011
MOHHv1,instance_001.txt,3,Time,78.07775664329529
MOHHv1,instance_001.txt,4,Time,80.69165658950806
MOHHv1,instance_001.txt,5,Time,91.237459897995
MOHHv1,instance_001.txt,6,Time,85.37139749526978
MOHHv1,instance_001.txt,7,Time,73.88534259796143
MOHHv1,instance_001.txt,8,Time,87.70218110084534
MOHHv1,instance_001.txt,9,Time,83.33134722709656
MOHHv1,instance_001.txt,0,GD,1.7105868948980951
MOHHv1,instance_001.txt,1,GD,1.8201530245664017
MOHHv1,instance_001.txt,2,GD,1.814545720077683
MOHHv1,instance_001.txt,3,GD,0.8460236860440978
MOHHv1,instance_001.txt,4,GD,1.1060485279105705
MOHHv1,instance_001.txt,5,GD,2.384386236994209
MOHHv1,instance_001.txt,6,GD,1.3937096647613891
MOHHv1,instance_001.txt,7,GD,0.635319301939236
MOHHv1,instance_001.txt,8,GD,0.9498184221233668
MOHHv1,instance_001.txt,9,GD,1.3691772778325733
MOHHv1,instance_001.txt,0,IGD,0.765315900220389
MOHHv1,instance_001.txt,1,IGD,0.9131535461138764
MOHHv1,instance_001.txt,2,IGD,1.199240861513106
MOHHv1,instance_001.txt,3,IGD,1.284547603178456
MOHHv1,instance_001.txt,4,IGD,0.8418329002507328
MOHHv1,instance_001.txt,5,IGD,0.6865520746585733
MOHHv1,instance_001.txt,6,IGD,0.9669593590305887
MOHHv1,instance_001.txt,7,IGD,0.5198367828401436
MOHHv1,instance_001.txt,8,IGD,0.4984690708046527
MOHHv1,instance_001.txt,9,IGD,0.7996475351902848
MOHHv1,instance_001.txt,0,EPSILON,1.154473711800946
MOHHv1,instance_001.txt,1,EPSILON,1.1089641984874643
MOHHv1,instance_001.txt,2,EPSILON,1.2367121037182558
MOHHv1,instance_001.txt,3,EPSILON,1.1175012394645514
MOHHv1,instance_001.txt,4,EPSILON,1.184691869945704
MOHHv1,instance_001.txt,5,EPSILON,1.177755501594114
MOHHv1,instance_001.txt,6,EPSILON,1.2353575987225194
MOHHv1,instance_001.txt,7,EPSILON,1.1646866295158222
MOHHv1,instance_001.txt,8,EPSILON,1.1071428571428572
MOHHv1,instance_001.txt,9,EPSILON,1.1885711593142727
MOHHv1,instance_001.txt,0,HV,1589.9378705530078
MOHHv1,instance_001.txt,1,HV,1610.3265761110295
MOHHv1,instance_001.txt,2,HV,1504.8398645368457
MOHHv1,instance_001.txt,3,HV,1675.6740269573256
MOHHv1,instance_001.txt,4,HV,1598.5647293600737
MOHHv1,instance_001.txt,5,HV,1536.99732360402
