Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
MSAA,instance_002.txt,1,HV,3027.5521015737913
MSAA,instance_002.txt,2,HV,3828.200698972848
MSAA,instance_002.txt,3,HV,4434.092987932574
MSAA,instance_002.txt,4,HV,3146.487758746327
MSAA,instance_002.txt,5,HV,3682.7692354740457
MSAA,instance_002.txt,6,HV,3550.1837240730133
MSAA,instance_002.txt,7,HV,5726.361642912158
MSAA,instance_002.txt,8,HV,4536.595151804883
MSAA,instance_002.txt,9,HV,4389.641190450269
MSAA,instance_002.txt,0,NHV,0.4998697578020289
MSAA,instance_002.txt,1,NHV,0.7223647217610705
MSAA,instance_002.txt,2,NHV,0.648942931267376
MSAA,instance_002.txt,3,NHV,0.5933808571611328
MSAA,instance_002.txt,4,NHV,0.7114579782389816
MSAA,instance_002.txt,5,NHV,0.6622794168103319
MSAA,instance_002.txt,6,NHV,0.6744378914173061
MSAA,instance_002.txt,7,NHV,0.47487608645934953
MSAA,instance_002.txt,8,NHV,0.5839811124723501
MSAA,instance_002.txt,9,NHV,0.5974572154691549
MSAA,instance_003.txt,0,Time,201.0644109249115
MSAA,instance_003.txt,1,Time,198.31204771995544
MSAA,instance_003.txt,2,Time,194.9179811477661
MSAA,instance_003.txt,3,Time,203.60705375671387
MSAA,instance_003.txt,4,Time,203.88658022880554
MSAA,instance_003.txt,5,Time,206.3937656879425
MSAA,instance_003.txt,6,Time,201.75872468948364
MSAA,instance_003.txt,7,Time,202.18287825584412
MSAA,instance_003.txt,8,Time,212.13493299484253
MSAA,instance_003.txt,9,Time,212.7989284992218
MSAA,instance_003.txt,0,GD,4.7755073698659585
MSAA,instance_003.txt,1,GD,4.410295707061804
MSAA,instance_003.txt,2,GD,5.0159458963283186
MSAA,instance_003.txt,3,GD,2.9281633797118816
MSAA,instance_003.txt,4,GD,3.0913345227891735
MSAA,instance_003.txt,5,GD,3.8622802422831306
MSAA,instance_003.txt,6,GD,2.844375829956538
MSAA,instance_003.txt,7,GD,4.075079601785196
MSAA,instance_003.txt,8,GD,3.826963525727938
MSAA,instance_003.txt,9,GD,3.306309877829153
MSAA,instance_003.txt,0,IGD,1.7746622993728047
MSAA,instance_003.txt,1,IGD,1.5084841920636047
MSAA,instance_003.txt,2,IGD,1.8944683834122187
MSAA,instance_003.txt,3,IGD,1.576962149584712
MSAA,instance_003.txt,4,IGD,1.6587458435739093
MSAA,instance_003.txt,5,IGD,1.9510553723972992
MSAA,instance_003.txt,6,IGD,1.7418882930465545
MSAA,instance_003.txt,7,IGD,2.0887709420076614
MSAA,instance_003.txt,8,IGD,1.8359757093356421
MSAA,instance_003.txt,9,IGD,1.587350682610099
MSAA,instance_003.txt,0,EPSILON,1.6970011862999608
MSAA,instance_003.txt,1,EPSILON,1.5768107293565445
MSAA,instance_003.txt,2,EPSILON,1.8087803256525672
MSAA,instance_003.txt,3,EPSILON,1.8284176029962558
MSAA,instance_003.txt,4,EPSILON,1.706894160077681
MSAA,instance_003.txt,5,EPSILON,2.0134125106774436
MSAA,instance_003.txt,6,EPSILON,1.7446111664217205
MSAA,instance_003.txt,7,EPSILON,2.098174695423824
MSAA,instance_003.txt,8,EPSILON,1.8689405012027651
MSAA,instance_003.txt,9,EPSILON,1.696969696969697
MSAA,instance_003.txt,0,HV,0.0
MSAA,instance_003.txt,1,HV,0.0
MSAA,instance_003.txt,2,HV,0.0
MSAA,instance_003.txt,3,HV,0.0
MSAA,instance_003.txt,4,HV,0.0
MSAA,instance_003.txt,5,HV,0.0
MSAA,instance_003.txt,6,HV,0.0
MSAA,instance_003.txt,7,HV,0.0
MSAA,instance_003.txt,8,HV,0.0
MSAA,instance_003.txt,9,HV,0.0
MSAA,instance_003.txt,0,NHV,1.0
MSAA,instance_003.txt,1,NHV,1.0
MSAA,instance_003.txt,2,NHV,1.0
MSAA,instance_003.txt,3,NHV,1.0
MSAA,instance_003.txt,4,NHV,1.0
MSAA,instance_003.txt,5,NHV,1.0
MSAA,instance_003.txt,6,NHV,1.0
MSAA,instance_003.txt,7,NHV,1.0
MSAA,instance_003.txt,8,NHV,1.0
MSAA,instance_003.txt,9,NHV,1.0
MSAA,instance_004.txt,0,Time,216.77208018302917
MSAA,instance_004.txt,1,Time,206.46888732910156
MSAA,instance_004.txt,2,Time,217.37762212753296
MSAA,instance_004.txt,3,Time,208.75514316558838
MSAA,instance_004.txt,4,Time,202.69113421440125
MSAA,instance_004.txt,5,Time,220.8282859325409
